sample,unit,platform,fq1,fq2
cl01,1,ILLUMINA,/home/cbuckner/illum_data_all/cl01/cl01.wgs.FR.fastq.gz,/home/cbuckner/illum_data_all/cl01/cl01.wgs.RR.fastq.gz
10f10,1,ILLUMINA,/home/cbuckner/illum_data_all/10f10/10f10.wgs.FR.fastq.gz,/home/cbuckner/illum_data_all/10f10/10f10.wgs.RR.fastq.gz
